country_iso3,ofac_entities,ofac_entity_country_links
ABW,1,1
AFG,82,82
AGO,11,11
ALB,8,8
ARE,668,668
ARG,19,19
ARM,6,6
ATG,2,2
AUS,6,6
AUT,15,15
AZE,8,8
BEL,38,38
BEN,10,10
BFA,4,4
BGD,15,15
BGR,92,92
BHR,5,5
BHS,2,2
BIH,26,26
BLR,260,260
BLZ,6,6
BMU,2,2
BOL,4,4
BRA,22,22
BRB,3,3
CAF,27,27
CAN,39,39
CHE,81,81
CHL,8,8
CHN,1072,1072
CIV,7,7
COD,84,84
COG,3,3
COL,383,383
COM,1,1
CRI,19,19
CUB,35,35
CYM,14,14
CYP,128,128
CZE,10,10
DEU,129,129
DJI,4,4
DMA,1,1
DNK,3,3
DOM,25,25
DZA,14,14
ECU,12,12
EGY,27,27
ERI,10,10
ESP,48,48
EST,16,16
ETH,5,5
FIN,20,20
FRA,42,42
GBR,190,190
GEO,15,15
GHA,3,3
GIB,6,6
GIN,2,2
GMB,19,19
GNQ,2,2
GRC,19,19
GTM,62,62
GUY,12,12
HKG,71,71
HND,31,31
HRV,5,5
HTI,19,19
HUN,11,11
IDN,23,23
IMN,2,2
IND,140,140
IRL,8,8
IRN,1519,1519
IRQ,171,171
ISL,1,1
ISR,18,18
ITA,78,78
JAM,6,6
JEY,8,8
JOR,31,31
JPN,23,23
KAZ,13,13
KEN,19,19
KGZ,25,25
KHM,122,122
KNA,5,5
KOR,5,5
KWT,17,17
LAO,6,6
LBN,331,331
LBR,48,48
LBY,28,28
LIE,23,23
LKA,4,4
LTU,7,7
LUX,8,8
LVA,14,14
MAC,2,2
MAR,2,2
MCO,4,4
MDA,13,13
MDV,50,50
MEX,1088,1088
MHL,122,122
MKD,12,12
MLI,26,26
MLT,57,57
MMR,191,191
MNE,7,7
MNG,3,3
MOZ,8,8
MRT,2,2
MUS,1,1
MYS,42,42
NAM,3,3
NER,2,2
NGA,22,22
NIC,67,67
NLD,58,58
NOR,5,5
NZL,5,5
OMN,30,30
PAK,169,169
PAN,144,144
PER,36,36
PHL,18,18
PLW,9,9
POL,10,10
PRK,232,232
PRT,2,2
PRY,15,15
PSE,67,67
QAT,15,15
ROU,9,9
RUS,5237,5237
RWA,6,6
SAU,23,23
SDN,42,42
SEN,1,1
SGP,110,110
SLE,8,8
SLV,11,11
SMR,1,1
SOM,68,68
SRB,49,49
SSD,33,33
SUR,6,6
SVK,16,16
SVN,9,9
SWE,13,13
SYC,43,43
SYR,305,305
THA,71,71
TJK,5,5
TKM,5,5
TTO,1,1
TUN,8,8
TUR,350,350
TWN,34,34
TZA,3,3
UGA,18,18
UKR,242,242
URY,3,3
USA,75,75
UZB,25,25
VCT,4,4
VEN,254,254
VGB,46,46
VNM,17,17
VUT,2,2
WSM,1,1
XKX,29,29
YEM,138,138
ZAF,48,48
ZMB,5,5
ZWE,20,20
